system_id,H2O,CO2,O2,O3,CH4,N2,N2O,CO,H2,H2S,SO2,NH3,stellar_type,stellar_teff,stellar_radius,planet_radius,planet_mass,surface_gravity,orbital_distance,surface_pressure,snr_mean,snr_max,rp_rs_sq,retrieval_quality
2111,-3.714172416401915,-3.081051675959356,-2.2372301402047863,-6.4235305061862356,-5.539097003801426,,,,,,,,K,4527.8,,0.05049048600329443,,,,,3.252661782541362,7.007435186836804,0.0025492891768488708,0
2112,-3.7800617764361606,-2.614261904452211,-1.9292875043368327,-6.479283041599828,-5.5948495392150175,,,,,,,,K,3886.7,,0.05674056737370329,,,,,0.1950872154724986,1.0113578302466097,0.0032194919858897623,0
2113,-1.8695202772614044,-1.8938214168395882,-2.108591715773029,-6.330207004523641,-4.8195456124137,,,,,,,,K,4128.8,,0.04153077199901191,,,,,0.5545176394051562,1.6174844126954289,0.0017248050228339117,0
2114,-1.1376614030433658,-2.4168447635472226,-1.8797640162150666,-6.576706883199554,-5.692273380814743,,,,,,,,M,3485.0,,0.06957621561050785,,,,,0.16009326627446258,1.392111571245852,0.004840849778679876,0
2115,-1.0424371166616386,-1.6400743258653003,-1.9508022971182002,-5.253634844131799,-4.369201341746988,,,,,,,,K,5094.5,,0.004361823019214321,,,,,5.186401287601628,9.80705067272298,1.9025500050947933e-05,0
2116,-0.9639700639481283,-1.9791340876920143,-1.4385248392310865,-5.319267191702963,-4.434833689318152,,,,,,,,K,5100.1,,0.005004190229672691,,,,,6.518101340116526,12.138509762028592,2.5041919854751623e-05,0
2117,-1.419428105669761,-2.1488339124387816,-1.7638351705903261,-6.023184471685415,-5.138750969300604,,,,,,,,K,4577.3,,0.021840300555586178,,,,,1.5161915256982874,3.762293443888447,0.00047699872835833785,0
2118,-1.3055478802175347,-1.9377474782792334,-2.034021144322181,-5.771064808138967,-3.6172615946631255,,,,,,,,K,4965.2,,0.012884243277804075,,,,,3.6360601356136484,7.158791586043319,0.0001660037248416395,0
2119,-2.6852166632243977,-2.2602891014000654,-2.1498166527788154,-5.552875638112952,-4.668442135728142,,,,,,,,K,4775.4,,0.00816028121752641,,,,,4.23124681591016,8.46726513086581,6.659018954911432e-05,0
2120,-1.6495037524897902,-2.2894098791131308,-1.8278257807702132,-5.909461503242607,-3.9219155309532696,,,,,,,,K,4959.7,,0.017213694610945404,,,,,5.468722763147414,11.352480417754572,0.00029631128215889087,0
2121,-3.2025102128206626,-3.545332475041368,-1.8487403987393685,-5.990585564694406,-5.106152062309596,,,,,,,,K,4665.3,,0.020399674632100434,,,,,3.7070970686886215,8.154616000617878,0.000416146725095562,0
2122,-1.015306646563734,-2.2880925456529724,-1.6921060815498805,-6.222608502538147,-5.338175000153337,,,,,,,,M,3619.8,,0.03315531696501853,,,,,0.26733893970187067,1.4601211778740504,0.0010992750430508455,0
2123,-3.719720518303004,-2.2747138921162744,-2.4649102319289593,-6.428225053948696,-5.543791551563886,,,,,,,,K,4186.6,,0.050989097111210954,,,,,0.7961850448220479,2.5442567033661696,0.0025998880242165015,0
2124,-3.6859718818750298,-2.527001892939418,-2.2401863697049076,-6.399668515432717,-5.515235013047907,,,,,,,,K,4516.8,,0.04803046953359333,,,,,2.2881477198818376,5.480668117678706,0.002306926003617437,0
2125,-1.0775876224536476,-2.029048111091628,-1.9660491093952903,-5.833801517095968,-4.949368014711158,,,,,,,,K,4503.0,,0.014692384599857262,,,,,1.0454685308885587,2.4890533026220885,0.00021586616523012282,0
2126,-1.1646502893589483,-2.1119727077312755,-1.2614669292630039,-5.909914408195386,-5.025480905810576,,,,,,,,K,5080.8,,0.017230021748419783,,,,,3.4435031748215956,9.584142337699015,0.00029687364945101875,0
2127,-0.9941492006711635,-1.9783647910892315,-1.8150180051928446,-5.806562366019557,-3.6770147114214713,,,,,,,,K,4497.5,,0.013878081182612098,,,,,1.0733652648241625,2.5636195570233693,0.00019260113731117202,0
2128,-3.67829554768053,-2.3362722307578894,-2.2499859548005907,-6.393173155729679,-3.9269634007282326,,,,,,,,K,4657.1,,0.04738184413381201,,,,,1.1172002340116565,2.5856938294048195,0.0022450391535208556,0
2129,-3.980111808308455,-2.592710653226208,-2.3689782094546814,-6.64855614549177,-5.764122643106959,,,,,,,,M,3584.0,,0.08086830010119785,,,,,0.2833121767274757,0.9755138608692289,0.006539681961257395,0
2130,-1.042104334760434,-1.9426686156086037,-2.077863624546446,-6.214486376921029,-4.085754379679765,,,,,,,,K,3705.1,,0.032596384616882274,,,,,0.3628618424913262,1.7661129763125754,0.0010625242900917191,0
2131,-0.8873956595586372,-1.6046622548494476,-1.1226784134115433,-5.816685068683417,-4.932251566298607,,,,,,,,K,4541.5,,0.01417528765353103,,,,,1.5519818307082123,3.922426330745307,0.00020093878006034925,0
2132,-4.02804423424271,-4.514197290545505,-2.197516052934414,-6.689114352051524,-5.804680849666713,,,,,,,,K,4197.6,,0.08803379235193286,,,,,0.6000567150564421,2.1286194366274147,0.0077499485958632324,0
2133,-1.24745268953926,-2.425604223095792,-1.7788445362217753,-5.315180124145249,-4.430746621760439,,,,,,,,K,4808.4,,0.00496156053744767,,,,,4.79128114737666,9.579010578732877,2.461708296675801e-05,0
2134,-1.1522706497801778,-2.1434832733370723,-1.147031918419023,-6.151020334894234,-5.266586832509423,,,,,,,,K,4571.8,,0.028541252763661443,,,,,1.2121975175061774,4.579534342873754,0.0008146031093192119,0
2135,-0.8176969023289684,-2.1573446905810223,-1.6716968891717623,-6.471671720151768,-3.663376154447023,,,,,,,,M,3578.5,,0.05584371359262906,,,,,0.25827948464081063,1.2108659427668038,0.0031185203478155837,0
2136,-0.8643163176630245,-1.6604544423272891,-1.9220559278558946,-5.265883511421486,-3.506791605987456,,,,,,,,K,5177.1,,0.004475104613785333,,,,,7.393773215626945,13.217806257691946,2.0026561304322772e-05,0
2137,-3.6675035259425774,-1.3632566618509387,-1.0515337395797333,-6.384041445028335,-5.499607942643525,,,,,,,,K,4398.4,,0.04648473982658758,,,,,1.3401969320597542,6.365583405249797,0.002160831036745538,0
2138,-3.324230952698027,-2.556308461658975,-1.9344522267039035,-6.093580036898331,-4.177771426517455,,,,,,,,K,4538.8,,0.025307810797919626,,,,,5.432843023287651,10.934495564476014,0.0006404852873832972,0
2139,-1.0384594318236509,-3.820895100609258,-1.7517904299628189,-6.053587344609964,-5.169153842225153,,,,,,,,K,4247.1,,0.023275423190615777,,,,,0.8151936859175442,2.368416109535362,0.0005417453247022547,0
2140,-3.6801996761194484,-2.9212254283793695,-1.775416659016403,-6.3947843413318415,-5.510350838947031,,,,,,,,K,4648.8,,0.04754191529614355,,,,,2.5935661775826095,5.608914580433505,0.002260233710025688,0
2141,-1.022901579652788,-1.929333646857718,-2.105945333477426,-6.219051307300704,-3.858201628360246,,,,,,,,K,4016.0,,0.0329093549817514,,,,,0.5149339942555978,1.753443645222112,0.0010830256453149257,0
2142,-1.2504774696803689,-2.255747867141006,-1.72523038748716,-5.796043521689185,-4.911610019304375,,,,,,,,K,4508.5,,0.013575843969931757,,,,,1.2913151534496212,3.051168996320502,0.00018430353949593247,0
2143,-3.4902907557093332,-2.694172655981369,-1.5940698944103835,-6.234092177907897,-5.349658675523087,,,,,,,,K,4580.0,,0.03396197117251336,,,,,2.9899449501465223,6.4770476503803565,0.0011534154859226286,0
2144,-1.579456408194487,-2.2884132313254106,-2.231544654828444,-5.633202026984325,-4.748768524599514,,,,,,,,K,4709.4,,0.009654485073667757,,,,,3.779427843879618,7.711376818698926,9.320908203767351e-05,0
2145,-0.4207240356966455,-1.1316476013025927,-0.6396675444809135,-5.5924621623518656,-4.708028659967056,,,,,,,,K,4915.7,,0.008865288532745947,,,,,5.04488698083974,11.247346791311026,7.859334076883678e-05,0
2146,-1.2359581893909013,-2.241548618275189,-2.2148974822596026,-6.287568323723248,-5.403134821338437,,,,,,,,K,4255.4,,0.037984600842356796,,,,,0.48678209855916027,1.4063397439654377,0.0014428299011531726,0
2147,-4.180713316327689,-2.924675193572949,-2.3965417656333163,-6.818295883046506,-5.933862380661696,,,,,,,,M,3416.2,,0.11536847884289472,,,,,0.1538350347925073,0.5814946619217082,0.013309885910523447,0
2148,-0.9400740080636155,-2.3290729389912617,-1.8399024045754082,-6.341175978350974,-5.456742475966164,,,,,,,,K,3779.4,,0.042495387963131286,,,,,0.2574448033657834,0.9836658504621327,0.0018058579981370436,0
2149,-0.9801860380174957,-2.2695340988571235,-1.0670601879246857,-5.93801933750094,-5.053585835116129,,,,,,,,M,3319.9,,0.018274090079131736,,,,,0.17959753881109217,0.7283667350481301,0.00033394236822022097,0
2150,-0.9517878235917517,-1.7521437171983456,-1.1460747860520082,-5.738279066492991,-4.853845564108181,,,,,,,,K,5053.3,,0.012029669527735504,,,,,2.818531000729127,5.982230267654284,0.00014471294894652815,0
2151,-3.2610077229949708,-2.5469431206169757,-1.5448046206248316,-6.040083457918822,-4.415561707101189,,,,,,,,K,4846.9,,0.022626705556863316,,,,,4.453138074628756,8.989909053694925,0.0005119678043569892,0
2152,-1.0583762058641606,-2.3013062924782384,-2.087635652536227,-6.334563580508237,-5.450130078123427,,,,,,,,K,3804.2,,0.041911241691589954,,,,,0.19619974779266228,0.7111428710185449,0.0017565521801308679,0
2153,-3.541915004785147,-2.042736178590006,-1.1513139517665014,-6.277774234818201,-3.8870800752763093,,,,,,,,K,4569.0,,0.037213785483207855,,,,,2.141878030300999,7.497676702988747,0.0013848658299902119,0
2154,-1.5030467535388987,-2.4553587361752935,-1.3394340755761327,-5.971463716870065,-5.087030214485254,,,,,,,,K,4648.8,,0.01959926308658189,,,,,2.010122397018661,5.442323623054296,0.0003841311135370514,0
2155,-4.038519181370534,-2.550695039617328,-2.387950146390746,-6.69797776885199,-4.03300464872643,,,,,,,,K,4615.8,,0.08968236709414941,,,,,1.0740164095634563,3.2742343771426876,0.008042926967609772,0
2156,-1.1510343161775403,-2.0906825399063074,-1.9977932662506892,-5.365228443987215,-4.480794941602404,,,,,,,,K,4981.7,,0.005509558100835914,,,,,3.8686656042014587,7.5680591479762365,3.0355230466486637e-05,0
